    #index           Reference          Calculated         Polynomials    Electrostatics (Permanent + Induced)    
       242     -1.15000000e-01     -1.60311304e+00     -1.23895146e+00                         -3.64161585e-01    
       243     -1.43400000e+00     -4.40719977e+00     -3.10478005e+00                         -1.30241973e+00    
       244     -8.55000000e-01     -1.36075518e+00      1.34064880e-01                         -1.49482006e+00    
       245     -1.00000000e-01     -1.92934625e+00     -1.57290227e+00                         -3.56443973e-01    
       246      1.44510000e+01     -8.12294265e+00     -7.44191289e+00                         -6.81029763e-01    
       247     -4.56500000e+00     -1.78357054e+00     -1.35060927e+00                         -4.32961274e-01    
       248     -3.22000000e-01     -2.71805858e+00     -1.15423643e+00                         -1.56382215e+00    
       249     -3.80000000e-02     -6.18279278e+00     -4.00597709e+00                         -2.17681570e+00    
       250     -7.41400000e+00     -7.24238780e+00     -5.44317382e+00                         -1.79921398e+00    
       251     -3.46600000e+00     -9.29297348e-01      8.63958428e-03                         -9.37936932e-01    
       252     -4.43600000e+00     -2.31707838e+00     -1.29522040e+00                         -1.02185798e+00    
       253     -4.53000000e-01     -3.02965133e+00     -9.09118838e-01                         -2.12053249e+00    
       254     -1.96100000e+00     -2.72832709e+00     -2.58351155e+00                         -1.44815540e-01    
       255     -7.39900000e+00     -7.01659004e+00     -5.52757411e+00                         -1.48901593e+00    
       256     -3.73000000e+00     -3.72956840e+00     -1.46932183e-01                         -3.58263621e+00    
       257     -2.58600000e+00     -1.99090938e+00     -1.16524012e+00                         -8.25669261e-01    
       258     -4.13000000e-01     -3.88007932e+00     -2.12115142e+00                         -1.75892789e+00    
       259     -4.61000000e-01     -1.84941335e+00     -1.26917332e+00                         -5.80240024e-01    
       260      1.53720000e+01     -3.26808742e+00     -1.02269955e+00                         -2.24538787e+00    
       261     -1.30440000e+01     -7.02401840e+00     -3.96571265e+00                         -3.05830574e+00    
       262     -7.44000000e-01     -4.48506576e+00     -2.86272253e+00                         -1.62234322e+00    
       263     -1.72960000e+01     -7.33065315e+00     -4.28790124e+00                         -3.04275191e+00    
       264     -5.60900000e+00     -4.13630672e+00     -2.95439666e+00                         -1.18191007e+00    
       265     -3.18200000e+00     -2.33640433e+00     -1.68163561e+00                         -6.54768716e-01    
       266     -1.50000000e+00     -1.43592295e+00     -7.03193715e-01                         -7.32729240e-01    
       267     -1.52300000e+00     -2.34665713e+00     -1.51172183e+00                         -8.34935304e-01    
       268     -4.33200000e+00     -4.26130594e+00     -3.61044087e+00                         -6.50865075e-01    
       269     -1.99000000e-01     -6.37281761e+00     -4.22771932e+00                         -2.14509829e+00    
       270     -7.53900000e+00     -5.79907670e+00     -4.73176903e+00                         -1.06730767e+00    
       271     -4.31500000e+00     -3.86754800e+00     -3.32515407e+00                         -5.42393921e-01    
       272     -2.55700000e+00     -3.45764497e+00     -2.28175546e+00                         -1.17588951e+00    
       273     -2.99500000e+00     -2.07094145e+00     -1.18936226e+00                         -8.81579188e-01    
       274     -2.13200000e+00     -4.94207329e+00     -4.67636059e+00                         -2.65712698e-01    
       275     -1.28600000e+00     -1.64213438e+00      3.39321309e-01                         -1.98145569e+00    
       276     -2.63400000e+00     -2.62823337e+00     -1.90989971e+00                         -7.18333655e-01    
       277     -2.11000000e-01     -5.96262312e-01     -4.86042229e-01                         -1.10220083e-01    
       278     -1.56510000e+01     -1.74288766e+01     -1.37493775e+01                         -3.67949918e+00    
       279     -2.23300000e+00     -1.65432131e+00     -1.92386734e-01                         -1.46193457e+00    
       280     -1.37600000e+00     -4.06124307e+00     -1.48362272e+00                         -2.57762035e+00    
       281     -6.99100000e+00     -7.08737565e+00     -4.18459894e+00                         -2.90277670e+00    
       282     -8.70300000e+00     -1.94286419e+00     -1.66843292e+00                         -2.74431265e-01    
       283     -9.92000000e-01     -2.04535033e+00     -6.73084782e-01                         -1.37226555e+00    
       284     -2.49000000e-01     -2.39490175e+00     -1.75765666e+00                         -6.37245091e-01    
       285     -9.18000000e-01     -2.91162112e+00     -1.33156304e+00                         -1.58005809e+00    
       286     -3.44670000e+01     -1.09333430e+01     -9.87026483e+00                         -1.06307812e+00    
       287     -4.52900000e+00     -4.14890279e+00     -3.09783382e+00                         -1.05106897e+00    
       288     -6.90000000e-01     -2.47221308e+00     -2.00151311e+00                         -4.70699966e-01    
       289     -6.08000000e-01     -4.74422461e+00     -2.54581954e+00                         -2.19840508e+00    
       290     -1.96000000e-01     -1.78811878e+00     -8.94565281e-01                         -8.93553498e-01    
       291     -4.34800000e+00     -2.73472509e+00     -2.42996403e+00                         -3.04761053e-01    
       292      1.50000000e-02     -4.33285550e+00     -4.13896743e+00                         -1.93888070e-01    
       293     -1.43900000e+00     -6.08065616e+00     -4.23216183e+00                         -1.84849434e+00    
       294     -2.55400000e+00     -1.23452123e+00     -4.19355518e-01                         -8.15165709e-01    
       295     -1.94970000e+01     -9.09571866e+00     -8.24996474e+00                         -8.45753915e-01    
       296     -9.17000000e+00     -8.77370449e+00     -7.00216027e+00                         -1.77154422e+00    
       297     -1.05530000e+01     -3.70110037e+00     -3.12351578e+00                         -5.77584592e-01    
       298     -1.32920000e+01     -5.04076665e+00     -2.93017863e+00                         -2.11058802e+00    
       299     -1.32600000e+00     -1.82744478e+00     -1.34482596e+00                         -4.82618826e-01    
       300     -2.55800000e+00     -2.13622279e+00     -8.99358594e-01                         -1.23686419e+00    
       301     -1.40600000e+00     -1.97332998e+00     -7.63565641e-01                         -1.20976433e+00    
       302     -1.71900000e+00     -2.12268479e+00     -8.56074093e-01                         -1.26661069e+00    
       303     -1.60100000e+00     -2.04502597e+00     -8.18514561e-01                         -1.22651141e+00    
       304     -1.77700000e+00     -2.55328427e+00     -1.18925127e+00                         -1.36403301e+00    
       305     -2.20400000e+00     -2.23816649e+00     -9.95919093e-01                         -1.24224740e+00    
       306     -1.24500000e+00     -2.26938774e+00     -9.05628466e-01                         -1.36375927e+00    
       307     -2.14700000e+00     -2.17062994e+00     -9.04457732e-01                         -1.26617221e+00    
       308     -2.58100000e+00     -2.02222889e+00     -7.56827451e-01                         -1.26540144e+00    
