    #index           Reference          Calculated         Polynomials          Dispersion    Electrostatics (Permanent + Induced)    
       109     -6.91400000e+00     -6.99101038e+00      9.37376632e-01     -2.24348229e+00                         -5.68490472e+00    
       110     -1.10450000e+01     -1.16824811e+01      1.73204527e+00     -3.69245676e+00                         -9.72206956e+00    
       111     -5.06200000e+00     -5.51450367e+00      3.74831320e+00     -3.01218501e+00                         -6.25063186e+00    
       112     -2.40000000e-02     -1.38887550e+00      4.64188471e-01     -1.24704474e+00                         -6.06019236e-01    
       113     -7.09700000e+00     -6.87039935e+00      2.13933507e+00     -3.09667771e+00                         -5.91305670e+00    
       114     -6.82000000e+00     -7.12864891e+00      1.25628409e+00     -2.48100230e+00                         -5.90393070e+00    
       115     -7.77200000e+00     -7.86442227e+00      2.20869428e+00     -2.87780758e+00                         -7.19530898e+00    
       116     -4.10100000e+00     -5.00389190e+00      9.89777870e-01     -2.08027189e+00                         -3.91339787e+00    
       117     -9.12000000e-01     -2.75303202e+00      3.11501486e+00     -2.57604767e+00                         -3.29199921e+00    
       118     -9.00400000e+00     -8.84927183e+00      8.60883774e-01     -2.43556699e+00                         -7.27458861e+00    
       119     -1.19200000e+00     -2.20865849e+00      3.12655780e+00     -2.04955375e+00                         -3.28566255e+00    
       120     -4.49400000e+00     -6.26566874e+00      6.21577960e+00     -3.79329823e+00                         -8.68815011e+00    
       121     -1.58440000e+01     -1.45732400e+01      7.02753392e+00     -5.86964690e+00                         -1.57311271e+01    
       122     -1.47900000e+01     -1.38743671e+01      2.17405140e+00     -4.30764774e+00                         -1.17407708e+01    
       123     -2.18560000e+01     -1.69518475e+01      8.59038830e-01     -5.51342198e+00                         -1.22974643e+01    
       124     -4.76500000e+00     -5.00885492e+00      1.17339640e+00     -2.35304002e+00                         -3.82921131e+00    
       125     -1.21830000e+01     -1.16081938e+01      4.28635271e+00     -5.49020066e+00                         -1.04043459e+01    
       126     -1.12900000e+00     -1.41153552e+00      2.55236697e+00     -1.87636635e+00                         -2.08753614e+00    
       127     -1.05100000e+00     -1.35231927e+00      1.53967462e+00     -1.47328250e+00                         -1.41871139e+00    
       128     -3.65900000e+00     -4.21607935e+00      1.57078672e+00     -2.29274211e+00                         -3.49412395e+00    
       129     -8.08300000e+00     -9.53139324e+00      2.33997035e+00     -2.85104577e+00                         -9.02031782e+00    
       130     -4.14600000e+00     -4.55251670e+00      2.93199836e+00     -2.56526224e+00                         -4.91925282e+00    
       131     -1.47110000e+01     -1.10244301e+01      5.72157381e+00     -5.43254444e+00                         -1.13134594e+01    
       132     -1.95500000e+01     -1.67964206e+01      5.37629463e+00     -6.53829836e+00                         -1.56344169e+01    
       133     -8.61200000e+00     -8.62876107e+00      1.53627059e+00     -3.29104247e+00                         -6.87398919e+00    
       134     -5.87200000e+00     -7.26297521e+00     -2.17379604e+00     -1.68269434e+00                         -3.40648482e+00    
       135     -1.16530000e+01     -9.75027930e+00      1.17123125e+00     -4.74000912e+00                         -6.18150143e+00    
       136     -2.93100000e+00     -3.48415133e+00      2.35549136e+00     -2.40321913e+00                         -3.43642357e+00    
       137     -1.10990000e+01     -1.07376386e+01      2.94060992e+00     -4.42215806e+00                         -9.25609040e+00    
       138     -6.86900000e+00     -7.05119503e+00      3.45518352e+00     -3.23693118e+00                         -7.26944737e+00    
       139     -1.06950000e+01     -9.70481757e+00      5.14216047e-01     -2.64815649e+00                         -7.57087712e+00    
       140     -4.25000000e-01     -1.92172686e+00      2.75658462e+00     -2.38023813e+00                         -2.29807334e+00    
       141     -4.72600000e+00     -6.88203680e+00      7.91795074e-01     -3.02002338e+00                         -4.65380850e+00    
       142      3.59100000e+00      2.56078902e+00      3.07083987e+00     -1.11966016e+00                          6.09609310e-01    
       143     -3.26000000e+00     -3.64492673e+00     -6.15598254e-01     -1.26580929e+00                         -1.76351919e+00    
       144     -6.03200000e+00     -5.74362708e+00      1.03487709e+00     -2.21547777e+00                         -4.56302641e+00    
       145     -4.39600000e+00     -4.60300943e+00      2.89245268e+00     -2.26640503e+00                         -5.22905709e+00    
       146     -9.34200000e+00     -9.74373136e+00     -1.25245951e+00     -2.69656517e+00                         -5.79470667e+00    
       147     -3.89200000e+00     -2.85794074e+00      4.78999993e+00     -2.80553243e+00                         -4.84240824e+00    
       148     -1.28270000e+01     -1.24746543e+01      9.00409223e-01     -3.57538511e+00                         -9.79967843e+00    
       149     -3.09700000e+00     -3.75793937e+00     -6.58159922e-01     -1.43278951e+00                         -1.66698994e+00    
       150     -7.92500000e+00     -8.02225153e+00      3.22498117e+00     -3.42274367e+00                         -7.82448903e+00    
       151     -1.65900000e+00     -1.40004406e+00      3.74358213e+00     -2.19354873e+00                         -2.95007746e+00    
       152     -1.77600000e+00     -1.91637666e+00      4.74099470e+00     -2.60715891e+00                         -4.05021245e+00    
       153     -2.43200000e+00     -3.09006770e+00      2.69560300e+00     -2.45526039e+00                         -3.33041031e+00    
       154     -1.75400000e+00     -1.82451233e+00      4.47773554e+00     -2.47958181e+00                         -3.82266606e+00    
       155     -2.79500000e+00     -2.62207390e+00      2.40492948e+00     -2.21040223e+00                         -2.81660115e+00    
       156     -2.81800000e+00     -2.11321205e+00      3.34658111e+00     -2.74839539e+00                         -2.71139776e+00    
       157     -1.54900000e+00     -1.53810704e+00      3.80606004e+00     -2.23211574e+00                         -3.11205134e+00    
       158     -2.20000000e+00     -2.52828078e+00      2.29258234e+00     -2.30521813e+00                         -2.51564499e+00    
       159     -2.03700000e+00     -2.15111674e+00      3.68863939e+00     -2.28107032e+00                         -3.55868581e+00    
       160     -2.16600000e+00     -1.74103309e+00      3.61600781e+00     -2.15708962e+00                         -3.19995127e+00    
       161     -3.11500000e+00     -2.75267706e+00      4.55793552e+00     -2.91573559e+00                         -4.39487699e+00    
       162     -1.65100000e+00     -1.99853478e+00      6.61636734e+00     -3.25889268e+00                         -5.35600944e+00    
       163     -1.27700000e+00     -1.51475411e+00      5.05300062e+00     -2.68152131e+00                         -3.88623342e+00    
       164     -4.17000000e+00     -2.20576419e+00      2.89015240e+00     -2.49934741e+00                         -2.59656919e+00    
       165     -1.20700000e+00     -1.38086671e+00      5.03053591e+00     -2.67546953e+00                         -3.73593309e+00    
       166     -2.80100000e+00     -1.72447843e+00      2.78004920e+00     -2.26720936e+00                         -2.23731827e+00    
       167     -1.91000000e+00     -2.43184407e+00      3.34466078e+00     -2.43669813e+00                         -3.33980672e+00    
       168     -1.55600000e+00     -1.92978842e+00      5.22613473e+00     -2.80116812e+00                         -4.35475503e+00    
       169     -2.00700000e+00     -2.77854059e+00      3.66298736e+00     -2.63466136e+00                         -3.80686660e+00    
       170     -2.38100000e+00     -2.63081933e+00      3.10041672e+00     -2.40672934e+00                         -3.32450671e+00    
       171     -1.88200000e+00     -1.84326263e+00      4.83265032e+00     -2.63650489e+00                         -4.03940806e+00    
       172     -1.33900000e+00     -1.45493610e+00      4.52165913e+00     -2.45599098e+00                         -3.52060425e+00    
       173     -9.22000000e-01     -1.05131602e+00      5.37071361e+00     -2.75095444e+00                         -3.67107518e+00    
       174     -1.73700000e+00     -2.67916049e+00      2.56150059e+00     -2.32365665e+00                         -2.91700443e+00    
       175     -3.58100000e+00     -3.49871087e+00      3.85202179e+00     -2.91450076e+00                         -4.43623190e+00    
       176     -9.83000000e-01     -1.83218627e+00      6.27015317e+00     -3.31274094e+00                         -4.78959851e+00    
       177     -2.26800000e+00     -1.82892343e+00      4.93113566e+00     -2.70944624e+00                         -4.05061285e+00    
       178     -3.53800000e+00     -8.76905894e-01      6.37833119e+00     -3.68493327e+00                         -3.57030382e+00    
       179     -4.43200000e+00     -2.04963009e+00      3.18634897e+00     -2.52346755e+00                         -2.71251151e+00    
       180     -1.77800000e+00     -2.21373415e+00      5.36677997e+00     -3.14455394e+00                         -4.43596017e+00    
       181     -1.92200000e+00     -1.77739889e+00      5.44745128e+00     -2.77548980e+00                         -4.44936037e+00    
       182     -2.72500000e+00     -2.69384546e+00      2.55943626e+00     -2.51286732e+00                         -2.74041441e+00    
       183     -9.61000000e-01     -1.18162844e+00      8.02630634e+00     -3.60612319e+00                         -5.60181159e+00    
       184     -2.84800000e+00     -2.72243285e+00      4.65383959e+00     -2.91714627e+00                         -4.45912617e+00    
       185     -3.13300000e+00     -2.81088516e+00      2.18223296e+00     -2.17592433e+00                         -2.81719379e+00    
       186     -2.04900000e+00     -2.08190830e+00      4.19269039e+00     -2.58886814e+00                         -3.68573055e+00    
       187     -2.49500000e+00     -2.78739270e+00      3.21625905e+00     -2.68159434e+00                         -3.32205741e+00    
       188     -2.81200000e+00     -2.14444753e+00      2.51615754e+00     -2.32425469e+00                         -2.33635038e+00    
       189     -4.80600000e+00     -1.38082787e+00      4.52565512e+00     -2.97125954e+00                         -2.93522344e+00    
       190     -3.08100000e+00     -1.55518514e+00      2.92364959e+00     -2.38168261e+00                         -2.09715212e+00    
       191     -2.07400000e+00     -2.18775935e+00      2.18676412e+00     -2.04136470e+00                         -2.33315878e+00    
       192     -3.02600000e+00     -1.21798974e+00      4.79064823e+00     -2.87175556e+00                         -3.13688241e+00    
       193     -2.03600000e+00     -2.61378582e+00      4.31555111e+00     -2.75408832e+00                         -4.17524861e+00    
       194     -2.25400000e+00     -2.24878841e+00      4.32185606e+00     -2.54190266e+00                         -4.02874180e+00    
       195     -1.74800000e+00     -1.71737932e+00      1.85801226e+00     -1.70844750e+00                         -1.86694407e+00    
       196     -3.39400000e+00     -3.02798816e+00      3.59257143e+00     -2.67850871e+00                         -3.94205087e+00    
       197     -1.60600000e+00     -1.05860921e+00      3.18721930e+00     -2.04423398e+00                         -2.20159454e+00    
       198     -2.11800000e+00     -2.08693332e+00      6.49298101e+00     -3.25130407e+00                         -5.32861026e+00    
       199     -2.92800000e+00     -2.11047501e+00      2.22319371e+00     -2.15066865e+00                         -2.18300007e+00    
       200     -1.58900000e+00     -1.30905320e+00      3.05525112e+00     -1.91790757e+00                         -2.44639675e+00    
       201     -4.76200000e+00     -5.32710152e-01      5.19680655e+00     -2.88014499e+00                         -2.84937171e+00    
       202     -3.18900000e+00     -2.89609348e+00      8.76592918e-01     -1.77601274e+00                         -1.99667366e+00    
       203     -1.59500000e+00     -1.80346347e+00      2.70460135e+00     -2.10679968e+00                         -2.40126515e+00    
       204     -1.17500000e+00     -1.00713045e+00      4.90402942e+00     -2.52695040e+00                         -3.38420947e+00    
       205     -2.12100000e+00     -2.25967634e+00      2.58458456e+00     -2.03682741e+00                         -2.80743348e+00    
       206     -4.38800000e+00     -1.98076091e+00      5.96754244e+00     -3.55185190e+00                         -4.39645145e+00    
       207     -2.27700000e+00     -1.80501556e+00      7.56117338e+00     -3.81786618e+00                         -5.54832276e+00    
