#     index      Reference     Calculated        Error^2    
       334 5.24981747e+00 5.59808126e+00 1.21287671e-01    
       335 3.30981747e+00 2.91355603e+00 1.57023127e-01    
       336 4.16381747e+00 4.42577643e+00 6.86224967e-02    
       337 2.61681747e+00 2.71177764e+00 9.01743313e-03    
       338 4.12681747e+00 4.12818828e+00 1.87912100e-06    
       339 3.96281747e+00 4.25007790e+00 8.25185551e-02    
       340 2.59781747e+00 2.56811740e+00 8.82094161e-04    
       341 2.89281747e+00 2.68594642e+00 4.27956318e-02    
       342 4.63981747e+00 4.88240252e+00 5.88475082e-02    
       343 3.62381747e+00 3.60649959e+00 2.99908887e-04    
       344 2.36881747e+00 2.30882364e+00 3.59925979e-03    
       345 2.30681747e+00 2.57340168e+00 7.10671396e-02    
       346 2.18681747e+00 2.33170044e+00 2.09910755e-02    
       347 2.51281747e+00 2.62903322e+00 1.35061005e-02    
       348 2.90481747e+00 2.75240116e+00 2.32307303e-02    
       349 3.44681747e+00 3.22217149e+00 5.04658179e-02    
       350 3.92581747e+00 3.75274638e+00 2.99536026e-02    
       351 3.80481747e+00 3.49529722e+00 9.58027856e-02    
       352 5.07681747e+00 5.15799228e+00 6.58934907e-03    
       353 3.56681747e+00 3.31901739e+00 6.14048781e-02    
       354 2.74281747e+00 2.67932941e+00 4.03073438e-03    
       355 3.59381747e+00 3.53469230e+00 3.49578539e-03    
       356 3.70481747e+00 3.74593238e+00 1.69043594e-03    
       357 2.40481747e+00 2.16087678e+00 5.95070582e-02    
       358 2.98781747e+00 3.10327052e+00 1.33294076e-02    
       359 3.34781747e+00 3.52354893e+00 3.08815445e-02    
       360 2.22681747e+00 2.16457608e+00 3.87399077e-03    
       361 1.62881747e+00 1.55651123e+00 5.22819257e-03    
       362 3.28281747e+00 3.41441276e+00 1.73173202e-02    
       363 6.78481747e+00 6.62838346e+00 2.44715987e-02    
       364 3.13481747e+00 3.01326365e+00 1.47753306e-02    
       365 3.15881747e+00 3.31985908e+00 2.59343988e-02    
       366 2.76781747e+00 2.60505155e+00 2.64927437e-02    
       367 2.32681747e+00 2.37226445e+00 2.06542804e-03    
       368 4.30881747e+00 4.35002915e+00 1.69840297e-03    
       369 2.48381747e+00 2.59515173e+00 1.23953164e-02    
       370 1.14158175e+01 1.12723355e+01 2.05870728e-02    
       371 4.39781747e+00 4.53326700e+00 1.83465762e-02    
       372 6.73181747e+00 6.37608112e+00 1.26548350e-01    
       373 1.14958175e+01 1.13487688e+01 2.16233145e-02    
       374 3.84181747e+00 3.77740269e+00 4.14926397e-03    
       375 4.10581747e+00 4.28534319e+00 3.22294826e-02    
       376 5.10481747e+00 4.62253404e+00 2.32597312e-01    
       377 3.56981747e+00 3.40924049e+00 2.57849679e-02    
       378 1.08688175e+01 1.09705748e+01 1.03545518e-02    
       379 2.39581747e+00 2.33067702e+00 4.24327766e-03    
       380 3.13381747e+00 3.31990230e+00 3.46275635e-02    
       381 5.24181747e+00 4.81333022e+00 1.83601322e-01    
       382 1.73281747e+00 1.95163173e+00 4.78796800e-02    
       383 5.26781747e+00 5.69921795e+00 1.86106377e-01    
       384 2.78681747e+00 2.70474885e+00 6.73525915e-03    
       385 4.87381747e+00 4.88861343e+00 2.18920323e-04    
       386 6.86281747e+00 6.47720688e+00 1.48695530e-01    
       387 2.67681747e+00 2.44120678e+00 5.55123969e-02    
       388 4.11681747e+00 4.07657681e+00 1.61931110e-03    
       389 4.68081747e+00 4.70758109e+00 7.16291390e-04    
       390 1.90881747e+00 1.77518880e+00 1.78566210e-02    
       391 2.68581747e+00 2.89318382e+00 4.30008036e-02    
       392 3.47381747e+00 3.44317871e+00 9.38733385e-04    
       393 3.65781747e+00 4.22855527e+00 3.25741634e-01    
