    #index           Reference          Calculated         Polynomials          Dispersion    Electrostatics (Permanent + Induced)    
       136      3.67381747e+00      3.86553596e+00      3.86553596e+00      0.00000000e+00                          0.00000000e+00    
       137      2.80081747e+00      2.87044139e+00      2.87044139e+00      0.00000000e+00                          0.00000000e+00    
       138      5.34881747e+00      4.72271990e+00      4.72271990e+00      0.00000000e+00                          0.00000000e+00    
       139      6.30581747e+00      5.93422980e+00      5.93422980e+00      0.00000000e+00                          0.00000000e+00    
       140      1.50381747e+00      1.68049091e+00      1.68049091e+00      0.00000000e+00                          0.00000000e+00    
       141      2.66281747e+00      2.51934165e+00      2.51934165e+00      0.00000000e+00                          0.00000000e+00    
       142      4.96481747e+00      5.14284873e+00      5.14284873e+00      0.00000000e+00                          0.00000000e+00    
       143      2.87181747e+00      2.86161315e+00      2.86161315e+00      0.00000000e+00                          0.00000000e+00    
       144      7.59481747e+00      7.07306077e+00      7.07306077e+00      0.00000000e+00                          0.00000000e+00    
       145      2.18381747e+00      2.27227851e+00      2.27227851e+00      0.00000000e+00                          0.00000000e+00    
       146      3.65481747e+00      3.92745386e+00      3.92745386e+00      0.00000000e+00                          0.00000000e+00    
       147      2.25681747e+00      2.49301472e+00      2.49301472e+00      0.00000000e+00                          0.00000000e+00    
       148      3.38381747e+00      2.94747653e+00      2.94747653e+00      0.00000000e+00                          0.00000000e+00    
       149      3.13681747e+00      3.30933577e+00      3.30933577e+00      0.00000000e+00                          0.00000000e+00    
       150      2.49481747e+00      2.73748772e+00      2.73748772e+00      0.00000000e+00                          0.00000000e+00    
       151      4.11481747e+00      4.00286014e+00      4.00286014e+00      0.00000000e+00                          0.00000000e+00    
       152      3.84781747e+00      3.78334111e+00      3.78334111e+00      0.00000000e+00                          0.00000000e+00    
       153      4.91481747e+00      4.54525017e+00      4.54525017e+00      0.00000000e+00                          0.00000000e+00    
       154      3.37281747e+00      3.52269728e+00      3.52269728e+00      0.00000000e+00                          0.00000000e+00    
       155      2.88481747e+00      2.85947916e+00      2.85947916e+00      0.00000000e+00                          0.00000000e+00    
       156      2.41181747e+00      2.27150930e+00      2.27150930e+00      0.00000000e+00                          0.00000000e+00    
       157      3.14981747e+00      3.08450349e+00      3.08450349e+00      0.00000000e+00                          0.00000000e+00    
       158      5.20981747e+00      5.09223855e+00      5.09223855e+00      0.00000000e+00                          0.00000000e+00    
       159      4.06681747e+00      3.99327219e+00      3.99327219e+00      0.00000000e+00                          0.00000000e+00    
       160      1.42158175e+01      1.42509963e+01      1.42509963e+01      0.00000000e+00                          0.00000000e+00    
       161      4.37681747e+00      4.20660506e+00      4.20660506e+00      0.00000000e+00                          0.00000000e+00    
       162      4.20481747e+00      4.10841571e+00      4.10841571e+00      0.00000000e+00                          0.00000000e+00    
       163      3.75081747e+00      4.04771234e+00      4.04771234e+00      0.00000000e+00                          0.00000000e+00    
       164      3.58581747e+00      4.15529894e+00      4.15529894e+00      0.00000000e+00                          0.00000000e+00    
       165      4.01281747e+00      3.83720449e+00      3.83720449e+00      0.00000000e+00                          0.00000000e+00    
       166      3.43781747e+00      3.10693046e+00      3.10693046e+00      0.00000000e+00                          0.00000000e+00    
       167      5.35381747e+00      5.00492605e+00      5.00492605e+00      0.00000000e+00                          0.00000000e+00    
       168      6.03081747e+00      5.88310869e+00      5.88310869e+00      0.00000000e+00                          0.00000000e+00    
       169      7.48881747e+00      7.47607566e+00      7.47607566e+00      0.00000000e+00                          0.00000000e+00    
       170      3.51181747e+00      3.19072778e+00      3.19072778e+00      0.00000000e+00                          0.00000000e+00    
       171      2.86681747e+00      2.92789470e+00      2.92789470e+00      0.00000000e+00                          0.00000000e+00    
       172      3.97481747e+00      4.11918886e+00      4.11918886e+00      0.00000000e+00                          0.00000000e+00    
       173      8.09981747e+00      7.89629134e+00      7.89629134e+00      0.00000000e+00                          0.00000000e+00    
       174      3.48081747e+00      3.46031339e+00      3.46031339e+00      0.00000000e+00                          0.00000000e+00    
       175      2.81581747e+00      2.78286078e+00      2.78286078e+00      0.00000000e+00                          0.00000000e+00    
       176      4.13081747e+00      4.37859951e+00      4.37859951e+00      0.00000000e+00                          0.00000000e+00    
       177      6.11181747e+00      5.88795650e+00      5.88795650e+00      0.00000000e+00                          0.00000000e+00    
       178      4.29181747e+00      4.15846958e+00      4.15846958e+00      0.00000000e+00                          0.00000000e+00    
       179      4.99081747e+00      4.99192034e+00      4.99192034e+00      0.00000000e+00                          0.00000000e+00    
       180      4.29681747e+00      4.50333602e+00      4.50333602e+00      0.00000000e+00                          0.00000000e+00    
       181      4.19881747e+00      4.75736932e+00      4.75736932e+00      0.00000000e+00                          0.00000000e+00    
       182      3.88081747e+00      3.86678713e+00      3.86678713e+00      0.00000000e+00                          0.00000000e+00    
